id_escenario,escenario,recargo_entrega_ilustrativo_fraccion,participacion_gasolina_en_p068,grupo_analitico,descripcion,codigo_inicio,codigo_fin,numero_productos,produccion_base_millones_q_2013,efecto_precio_ponderado_produccion_pct,efecto_precio_minimo_producto_pct,efecto_precio_maximo_producto_pct
E10_r15_p068_502,E10,0.15,0.502,comercio_reparacion,Comercio y reparación de vehículos.,P102,P103,2,110301.56241488637,0.005316224617384838,0.004997145359527343,0.009259105131385134
E10_r15_p068_502,E10,0.15,0.502,transporte_logistica,"Transporte de pasajeros y carga, almacenamiento, apoyo, correo y mensajería.",P104,P109,6,25090.974998895443,0.03689042393408669,0.003459863379195967,0.04996291448952678
E10_r15_p068_502,E10,0.15,0.502,alojamiento_comidas,Alojamiento y suministro de comidas y bebidas.,P110,P111,2,29302.71482493113,0.004661037404077885,0.004430780113822485,0.008028413245888258
E10_r15_p068_502,E10,0.15,0.502,servicios_privados,"Información, finanzas, inmobiliarios, profesionales, administrativos y otros servicios de mercado.",P112,P136,25,144897.2483061703,0.0029415269071464837,0.00039828475495692786,0.008196483516562292
E10_r15_p068_502,E10,0.15,0.502,servicios_publicos_sociales,"Gobierno, enseñanza, salud, cultura, asociaciones y servicios domésticos.",P137,P150,14,78471.62944532983,0.0036159624486094668,0.0,0.011846057903122351
E10_r15_p068_502,E10,0.15,0.502,ajustes_comercio_exterior,Compras directas de residentes y no residentes.,P151,P152,2,0.0,0.0,0.0,0.0
E10_r30_p068_450,E10,0.3,0.45,agricultura_pesca_silvicultura,"Agricultura, ganadería, silvicultura y pesca.",P001,P030,30,74663.33847793967,0.0158191918543031,0.0034579656842828477,0.13586631574296887
E10_r30_p068_450,E10,0.3,0.45,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,0.031000323792382316,0.018406915079445647,0.046468788876285
E10_r30_p068_450,E10,0.3,0.45,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,0.01945160646629607,0.006369805559997648,0.038439797514864066
E10_r30_p068_450,E10,0.3,0.45,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,0.01791661356470888,0.0,0.04165526301073531
E10_r30_p068_450,E10,0.3,0.45,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,0.014091061544114781,0.005510570913500909,0.031097922014918903
E10_r30_p068_450,E10,0.3,0.45,otras_manufacturas,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros.",P076,P094,19,37622.85104702268,0.018720066848979904,0.0,0.07273588912855933
E10_r30_p068_450,E10,0.3,0.45,electricidad_agua_desechos,"Electricidad, gas, agua y gestión de desechos.",P095,P097,3,18377.121163366268,0.06114661350657697,0.03758122900200951,0.06719806327829313
E10_r30_p068_450,E10,0.3,0.45,construccion,"Edificaciones, obras civiles y servicios de construcción.",P098,P101,4,42692.54198585462,0.017301383664717753,0.009982396695244448,0.025653897461422888
E10_r30_p068_450,E10,0.3,0.45,comercio_reparacion,Comercio y reparación de vehículos.,P102,P103,2,110301.56241488637,0.014259755998117619,0.013403886901422723,0.024835779041898418
E10_r30_p068_450,E10,0.3,0.45,transporte_logistica,"Transporte de pasajeros y carga, almacenamiento, apoyo, correo y mensajería.",P104,P109,6,25090.974998895443,0.09895150822765061,0.009280421939437724,0.13401596449586078
E10_r30_p068_450,E10,0.3,0.45,alojamiento_comidas,Alojamiento y suministro de comidas y bebidas.,P110,P111,2,29302.71482493113,0.012502341579567387,0.011884720426937282,0.021534683384905353
E10_r30_p068_450,E10,0.3,0.45,servicios_privados,"Información, finanzas, inmobiliarios, profesionales, administrativos y otros servicios de mercado.",P112,P136,25,144897.2483061703,0.007890083466495869,0.0010683226974427002,0.021985499748554082
E10_r30_p068_450,E10,0.3,0.45,servicios_publicos_sociales,"Gobierno, enseñanza, salud, cultura, asociaciones y servicios domésticos.",P137,P150,14,78471.62944532983,0.009699127844769603,0.0,0.031774785189793917
E10_r30_p068_450,E10,0.3,0.45,ajustes_comercio_exterior,Compras directas de residentes y no residentes.,P151,P152,2,0.0,0.0,0.0,0.0
E10_r30_p068_502,E10,0.3,0.502,agricultura_pesca_silvicultura,"Agricultura, ganadería, silvicultura y pesca.",P001,P030,30,74663.33847793967,0.01764718735746701,0.003857552830022198,0.15156642333993414
E10_r30_p068_502,E10,0.3,0.502,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,0.03458258343061316,0.02053393637751492,0.05183851559087792
E10_r30_p068_502,E10,0.3,0.502,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,0.021699347657956943,0.007105871980264042,0.04288172967213725
E10_r30_p068_502,E10,0.3,0.502,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,0.019986977798853015,0.0,0.04646876006975362
E10_r30_p068_502,E10,0.3,0.502,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,0.01571936198921249,0.006147347996838791,0.034691459669976187
E10_r30_p068_502,E10,0.3,0.502,otras_manufacturas,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros.",P076,P094,19,37622.85104702268,0.020883274573750915,0.0,0.08114092520563732
E10_r30_p068_502,E10,0.3,0.502,electricidad_agua_desechos,"Electricidad, gas, agua y gestión de desechos.",P095,P097,3,18377.121163366268,0.06821244440067029,0.04192394879779729,0.07496317281267363
E10_r30_p068_502,E10,0.3,0.502,construccion,"Edificaciones, obras civiles y servicios de construcción.",P098,P101,4,42692.54198585462,0.01930065466597403,0.011135918091139362,0.02861834783474288
E10_r30_p068_502,E10,0.3,0.502,comercio_reparacion,Comercio y reparación de vehículos.,P102,P103,2,110301.56241488637,0.015907550024566765,0.01495278049892046,0.027705691286740015
E10_r30_p068_502,E10,0.3,0.502,transporte_logistica,"Transporte de pasajeros y carga, almacenamiento, apoyo, correo y mensajería.",P104,P109,6,25090.974998895443,0.11038590473395692,0.010352826252439417,0.1495022537264936
E10_r30_p068_502,E10,0.3,0.502,alojamiento_comidas,Alojamiento y suministro de comidas y bebidas.,P110,P111,2,29302.71482493113,0.013947056606539618,0.01325806589849448,0.02402313568716108
E10_r30_p068_502,E10,0.3,0.502,servicios_privados,"Información, finanzas, inmobiliarios, profesionales, administrativos y otros servicios de mercado.",P112,P136,25,144897.2483061703,0.0088018264448465,0.001191773320258301,0.024526046386164773
E10_r30_p068_502,E10,0.3,0.502,servicios_publicos_sociales,"Gobierno, enseñanza, salud, cultura, asociaciones y servicios domésticos.",P137,P150,14,78471.62944532983,0.010819915951276318,0.0,0.03544653814505899
E10_r30_p068_502,E10,0.3,0.502,ajustes_comercio_exterior,Compras directas de residentes y no residentes.,P151,P152,2,0.0,0.0,0.0,0.0
E15_r00_p068_450,E15,0.0,0.45,agricultura_pesca_silvicultura,"Agricultura, ganadería, silvicultura y pesca.",P001,P030,30,74663.33847793967,-0.008009930285049226,-0.06879489971490771,-0.0017509152372827308
E15_r00_p068_450,E15,0.0,0.45,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,-0.015696783671246165,-0.023529126061421764,-0.00932020471760542
E15_r00_p068_450,E15,0.0,0.45,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,-0.009849176441011574,-0.019463705927665036,-0.0032253037282066544
E15_r00_p068_450,E15,0.0,0.45,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,-0.009071944187746102,-0.02109183299592004,0.0
E15_r00_p068_450,E15,0.0,0.45,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,-0.007134904339629419,-0.01574620180623453,-0.0027902366476423796
